"","ID","INSEE_COM","CODE_EPCI","INSEE_DEP","INSEE_REG","NOM_COM_M","POPULATION","Nb_Transac","Prixm2_Moy"
"1","COMMUNE_0000000009728958","02451",240200493,"02",32,"MAGNY LA FOSSE",125,1,854
"2","COMMUNE_0000002200276464","01227",200040350,"01",84,"MAGNIEU",640,7,1437
"3","COMMUNE_0000000009728784","02061",240200493,"02",32,"BECQUIGNY",260,1,530
"4","COMMUNE_0000002200276482","14514",241400878,"14",28,"PONT L EVEQUE",4740,46,2593
"5","COMMUNE_0000000009729157","02374",240200493,"02",32,"LEHAUCOURT",886,10,1204
"6","COMMUNE_0000000009728615","02683",200071983,"02",32,"SAINT MARTIN RIVIERE",121,2,1278
"7","COMMUNE_0000002200276471","07103",200041465,"07",84,"SAINT JULIEN D INTRES",343,1,882
"8","COMMUNE_0000002200276480","14126",200069532,"14",28,"CAMBREMER",1356,20,1755
"9","COMMUNE_0000000009733625","14574",200069532,"14",28,"SAINT DESIR",1696,20,1851
"10","COMMUNE_0000002200276478","11251",200035715,"11",76,"VAL DE DAGNE",726,11,805
"11","COMMUNE_0000000009760125","13004",241300417,"13",93,"ARLES",52857,663,2553
"12","COMMUNE_0000000009735149","14147",200069532,"14",28,"CERNAY",144,2,2038
"13","COMMUNE_0000000009734637","14570",200069532,"14",28,"VALORBIQUET",2507,30,1249
"14","COMMUNE_0000000009735186","14248",200066710,"14",28,"ESPINS",237,2,2648
"15","COMMUNE_0000000009736196","14174",200068799,"14",28,"CONDE EN NORMANDIE",6671,12,1131
"16","COMMUNE_0000000009734107","14194",200069532,"14",28,"COURTONNE LES DEUX EGLISES",659,8,1650
"17","COMMUNE_0000000009734686","14207",200066710,"14",28,"CROISILLES",644,4,1310
"18","COMMUNE_0000000009735681","14357",200068799,"14",28,"TERRES DE DRUANCE",966,2,689
"19","COMMUNE_0000000009733622","14366",200069532,"14",28,"LISIEUX",20301,275,1431
"20","COMMUNE_0000000009735679","14496",200068799,"14",28,"PERIGNY",58,1,894
"21","COMMUNE_0000000009728278","59563",200043263,"59",32,"SEMOUSIES",246,1,1181
"22","COMMUNE_0000000009735676","14512",200068799,"14",28,"PONTECOULANT",81,2,550
"23","COMMUNE_0000002200276485","14713",200066710,"14",28,"MONTILLIERES SUR ORNE",605,3,1895
"24","COMMUNE_0000002200276488","16110",200043016,"16",75,"COURCOME",806,4,1091
"25","COMMUNE_0000002200276487","16005",200072023,"16",75,"AIGRE",1602,24,777
"26","COMMUNE_0000000009754565","17033",200041523,"17",75,"BARDE",498,6,1265
"27","COMMUNE_0000000009750153","17142",241700434,"17",75,"DOMPIERRE SUR MER",5387,74,2490
"28","COMMUNE_0000000009750151","17291",241700434,"17",75,"PUILBOREAU",5993,82,2450
"29","COMMUNE_0000002200276494","17344",200041689,"17",75,"SAINT HILAIRE DE VILLEFRANCHE",1308,17,1212
"30","COMMUNE_0000002200276495","18023",241800374,"18",24,"BAUGY",1725,17,1275
"31","COMMUNE_0000002200276496","18073",200027076,"18",24,"CORQUOY",217,3,1201
"32","COMMUNE_0000002200276497","19019",200066769,"19",75,"BEAULIEU SUR DORDOGNE",1320,15,1500
"33","COMMUNE_0000000009747473","21150",200006682,"21",27,"CHASSAGNE MONTRACHET",308,3,1093
"34","COMMUNE_0000000009747472","21196",200006682,"21",27,"CORPEAU",961,9,1580
"35","COMMUNE_0000000009747235","21541",200006682,"21",27,"SAINT AUBIN",223,2,1416
"36","COMMUNE_0000000009754545","24053",200040392,"24",75,"BOULAZAC ISLE MANOIRE",10557,115,1583
"37","COMMUNE_0000000009755580","24073",200034833,"24",75,"CALES",392,8,1865
"38","COMMUNE_0000000009759461","34286",200017341,"34",76,"SAINT PRIVAT",403,10,1393
"39","COMMUNE_0000000009754549","24139",200040392,"24",75,"COURSAC",2132,15,1660
"40","COMMUNE_0000000009754748","24160",200040392,"24",75,"EGLISE NEUVE DE VERGT",546,5,1422
"41","COMMUNE_0000000009754763","24165",200040384,"24",75,"EYGURANDE ET GARDEDEUIL",398,5,1345
"42","COMMUNE_0000000009754954","24220",200040392,"24",75,"LACROPTE",657,6,1478
"43","COMMUNE_0000000009755807","24273",200034833,"24",75,"MOLIERES",327,9,1659
"44","COMMUNE_0000000009754562","24354",242400935,"24",75,"ROCHE CHALAIS",2987,38,1121
"45","COMMUNE_0000000009744289","41203",200030385,"41",24,"SAINT BOHAIRE",491,8,1457
"46","COMMUNE_0000000009754742","24484",200040392,"24",75,"SAINT PIERRE DE CHIGNAC",869,15,1434
"47","COMMUNE_0000002200276521","27685",200066462,"27",28,"VIEILLE LYRE",655,9,1407
"48","COMMUNE_0000002200276513","25156",200068294,"25",27,"PAYS DE CLERVAL",1231,5,2537
"49","COMMUNE_0000002200276515","25558",200068070,"25",27,"TARCENAY FOUCHERANS",1487,6,1282
"50","COMMUNE_0000002200276516","26086",242600534,"26",84,"CHATILLON EN DIOIS",667,5,1989
"51","COMMUNE_0000000009735593","27032",200066462,"27",28,"CHAMBOIS",1356,15,1654
"52","COMMUNE_0000000009741737","35099",243500659,"35",53,"DOMLOUP",3354,54,2076
"53","COMMUNE_0000002200276522","28018",200006971,"28",24,"AUTHON DU PERCHE",1519,22,988
"54","COMMUNE_0000000009738867","28023",200069953,"28",24,"BAILLEAU ARMENONVILLE",1399,18,1998
"55","COMMUNE_0000000009738860","28168",200069953,"28",24,"GALLARDON",3654,38,2160
"56","COMMUNE_0000000009738407","28172",200069953,"28",24,"GAS",788,10,2062
"57","COMMUNE_0000000009759650","30258",243000643,"30",76,"SAINT GILLES",13615,153,1695
"58","COMMUNE_0000000009738863","28423",200069953,"28",24,"YERMENONVILLE",589,7,2206
"59","COMMUNE_0000002200276527","29199",242900835,"29",53,"PLOUIGNEAU",5107,34,1253
