IDBANK;IDPROD;Libellé;T1 1992;T2 1992;T3 1992;T4 1992;T1 1993;T2 1993;T3 1993;T4 1993;T1 1994;T2 1994;T3 1994;T4 1994;T1 1995;T2 1995;T3 1995;T4 1995;T1 1996;T2 1996;T3 1996;T4 1996;T1 1997;T2 1997;T3 1997;T4 1997;T1 1998;T2 1998;T3 1998;T4 1998;T1 1999;T2 1999;T3 1999;T4 1999;T1 2000;T2 2000;T3 2000;T4 2000;T1 2001;T2 2001;T3 2001;T4 2001;T1 2002;T2 2002;T3 2002;T4 2002;T1 2003;T2 2003;T3 2003;T4 2003;T1 2004;T2 2004;T3 2004;T4 2004;T1 2005;T2 2005;T3 2005;T4 2005;T1 2006;T2 2006;T3 2006;T4 2006;T1 2007;T2 2007;T3 2007;T4 2007;T1 2008;T2 2008;T3 2008;T4 2008;T1 2009;T2 2009;T3 2009;T4 2009;T1 2010;T2 2010;T3 2010;T4 2010;T1 2011;T2 2011;T3 2011;T4 2011;T1 2012;T2 2012;T3 2012;T4 2012;T1 2013;T2 2013;T3 2013;T4 2013;T1 2014;T2 2014;T3 2014;T4 2014;T1 2015;T2 2015;T3 2015;T4 2015;T1 2016;T2 2016;T3 2016;T4 2016;T1 2017;T2 2017;T3 2017;T4 2017;T1 2018;T2 2018;T3 2018;T4 2018;T1 2019;T2 2019;T3 2019;T4 2019;T1 2020;T2 2020;T3 2020;T4 2020;T1 2021;T2 2021
Données brutes en base 100 en moyenne en 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;France hors Mayotte (données brutes en base 100 en moyenne en 2015);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010567118;IPLA-FE-E-BRUT-2015;France hors Mayotte - Ensemble;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97,1;99,2;102,4;103,6;104,0;106,2;108,7;107,4;105,9;105,9;106,9;105,1;103,8;103,6;104,4;103,1;101,8;102,1;102,9;100,5;99,4;99,5;101,0;100,1;99,7;100,1;102,3;101,6;102,2;103,2;105,6;104,9;105,1;106,1;108,7;108,3;108,3;109,4;112,2;112,3;113,7;115,6;118,1;119,6;120,5;122,4
010567116;IPLA-FE-A-BRUT-2015;France hors Mayotte - Appartements;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93,1;95,4;98,9;100,7;101,9;104,9;107,6;107,0;105,7;105,9;106,7;105,4;104,1;103,9;104,9;103,6;102,6;102,5;102,8;101,1;99,7;99,5;100,8;100,0;99,3;100,0;101,7;101,6;102,3;103,7;106,3;106,0;106,1;107,1;109,8;109,6;110,1;111,7;114,2;115,4;117,2;119,5;121,8;122,7;123,2;125,0
010567120;IPLA-FE-M-BRUT-2015;France hors Mayotte - Maisons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100,3;102,2;105,0;105,8;105,6;107,2;109,5;107,6;106,0;105,9;107,0;104,8;103,5;103,3;104,0;102,7;101,2;101,8;102,9;100,1;99,1;99,4;101,2;100,2;100,0;100,2;102,8;101,6;102,1;102,8;105,2;104,2;104,4;105,4;108,0;107,4;107,0;107,8;110,7;110,2;111,2;112,8;115,4;117,3;118,5;120,6
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;France métropolitaine (données brutes en base 100 en moyenne en 2015);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010567058;IPLA-FM-E-BRUT-2015;France métropolitaine - Ensemble;;;;;;;;;;;;;;;;;40,8;41,3;42,1;41,9;40,3;41,5;41,9;41,7;41,0;42,0;43,0;42,8;43,4;44,5;46,3;46,4;47,1;48,6;50,4;50,2;50,9;52,5;54,2;54,2;54,7;56,6;59,2;59,7;60,9;63,3;66,1;67,4;69,6;72,5;76,3;78,1;80,4;83,9;88,1;89,7;91,9;94,7;98,0;98,7;99,4;101,2;103,6;104,4;103,7;103,7;104,2;100,4;96,0;94,3;96,1;96,3;97,2;99,2;102,4;103,6;104,0;106,2;108,7;107,4;105,9;106,0;106,9;105,2;103,8;103,6;104,4;103,2;101,9;102,2;102,9;100,6;99,4;99,5;101,0;100,1;99,7;100,1;102,3;101,6;102,1;103,2;105,7;104,9;105,2;106,1;108,8;108,3;108,3;109,4;112,2;112,4;113,7;115,7;118,1;119,6;120,5;122,4
010567056;IPLA-FM-A-BRUT-2015;France métropolitaine - Appartements;;;;;;;;;;;;;;;;;38,8;38,8;39,0;38,7;37,4;37,8;37,3;37,2;36,6;37,2;37,9;37,9;38,3;39,0;40,5;40,8;41,5;42,7;44,1;44,2;44,9;46,1;47,4;47,8;48,2;50,0;52,2;53,2;54,3;56,7;59,3;60,6;63,0;65,8;69,3;71,3;73,4;76,9;80,8;82,5;84,8;87,3;90,3;91,1;91,6;93,2;95,6;96,8;96,6;97,0;97,7;95,0;91,3;89,4;91,2;91,8;93,1;95,3;98,9;100,7;101,9;104,9;107,6;107,0;105,7;105,9;106,7;105,4;104,1;103,9;104,9;103,6;102,6;102,5;102,8;101,1;99,8;99,5;100,8;100,0;99,3;100,0;101,7;101,6;102,3;103,7;106,3;106,0;106,2;107,2;109,9;109,6;110,2;111,8;114,3;115,4;117,3;119,6;121,8;122,8;123,2;125,1
010567060;IPLA-FM-M-BRUT-2015;France métropolitaine - Maisons;;;;;;;;;;;;;;;;;42,1;43,1;44,6;44,5;42,5;44,8;46,1;45,9;44,9;46,3;47,7;47,3;48,0;49,4;51,7;51,4;52,3;53,9;56,2;55,7;56,4;58,5;60,5;60,0;60,6;62,7;65,5;65,6;66,7;69,1;72,2;73,3;75,3;78,2;82,3;83,9;86,2;89,7;94,3;95,7;97,9;100,8;104,3;104,9;105,8;107,6;110,1;110,4;109,3;108,9;109,4;104,7;99,8;98,1;99,9;99,8;100,4;102,2;105,1;105,8;105,6;107,2;109,5;107,7;106,1;106,0;107,0;105,0;103,6;103,4;104,0;102,8;101,3;101,9;102,9;100,1;99,1;99,4;101,2;100,2;99,9;100,2;102,8;101,6;102,1;102,8;105,2;104,2;104,4;105,4;108,0;107,4;107,0;107,8;110,7;110,2;111,1;112,9;115,4;117,4;118,5;120,6
