codecommune;Nb_mutations;PrixMoyen_m2
34133;1;15283
75107;567;13502
75106;475;13420
75104;396;12598
75105;639;12306
75101;218;12236
75103;558;12200
83101;7;12162
75108;501;11890
75102;428;11805
75109;965;11526
75116;2101;11496
92051;494;11153
75117;2243;11014
75111;2201;10826
73304;19;10721
75115;2790;10650
75114;1357;10611
75110;1360;10501
2654;1;10147
75112;1396;10066
75118;2954;10063
83119;25;9860
65169;1;9804
75113;1263;9623
92044;556;9607
75120;1808;9404
94067;301;9289
75119;1499;9165
94080;783;9133
92012;1273;9041
6121;31;8961
74173;103;8391
66044;1;8381
3245;1;8355
33236;214;8313
92040;581;8259
17004;1;8250
13012;1;8166
15102;1;8161
31564;1;8000
74188;8;7850
92049;521;7849
94018;350;7808
73015;46;7771
6059;53;7684
6032;60;7634
66233;1;7466
92064;329;7457
17286;21;7426
83152;7;7405
74080;40;7379
37258;2;7358
92046;220;7352
6159;134;7325
74056;168;7261
73227;27;7249
92062;287;7233
74199;5;7219
93045;233;7219
74299;23;7213
73232;6;7149
92073;280;7148
92075;281;7135
92024;410;7132
64527;2;7108
17051;43;7073
6011;97;7068
92026;513;7041
11380;1;7000
92035;283;6996
33009;564;6991
78646;986;6973
78650;225;6961
14492;5;6841
62319;3;6821
70394;1;6792
40304;132;6739
62826;432;6718
74114;4;6710
92004;694;6692
92071;174;6683
92009;236;6644
26262;1;6617
94052;609;6586
78158;390;6575
17297;26;6567
17369;45;6531
74134;48;6528
93070;474;6496
54461;2;6491
64122;401;6489
92023;512;6488
78190;111;6485
13022;68;6483
93061;175;6468
93048;979;6468
92072;234;6462
74108;10;6448
32428;1;6429
92033;189;6416
6138;69;6415
6012;216;6376
78686;230;6335
94037;104;6313
64249;6;6311
93055;506;6306
92014;206;6296
94069;193;6258
92020;348;6239
56085;1;6230
94043;195;6229
92047;9;6224
94033;593;6221
94068;1247;6213
69386;255;6200
78551;517;6200
92076;109;6154
94042;268;6101
78358;408;6065
74191;105;6057
92077;110;6052
69382;341;6037
92063;502;6010
94003;168;6009
11184;1;6000
73257;144;5997
92022;207;5980
6150;41;5973
17161;52;5942
78196;4;5929
74176;22;5906
92048;387;5898
83068;42;5892
17121;25;5874
70202;2;5846
13034;14;5833
94046;667;5832
17207;15;5810
56087;11;5800
6104;390;5792
2A228;14;5787
92060;275;5779
92050;285;5772
74267;29;5761
92025;562;5744
78396;67;5738
64483;183;5729
13104;88;5713
94058;618;5698
93006;287;5696
74003;3;5692
78343;7;5689
83079;5;5688
6089;15;5684
2A215;4;5677
93063;262;5675
17318;22;5638
83009;420;5635
95210;202;5625
92002;542;5623
97111;3;5621
63179;2;5613
13011;5;5611
78146;437;5608
13090;1;5588
32240;1;5566
69381;432;5565
13094;10;5556
2A139;25;5537
94016;277;5536
13093;3;5525
73132;22;5522
73293;2;5522
17019;20;5494
17360;46;5468
83115;64;5463
13109;12;5456
69191;82;5453
64125;72;5452
1143;158;5448
92007;175;5442
83112;242;5431
6128;34;5431
69384;477;5425
83094;8;5425
83048;31;5424
94076;445;5424
78117;73;5422
74099;20;5408
83065;16;5403
83123;439;5403
73296;31;5402
40065;293;5399
14280;1;5385
94041;451;5382
13021;58;5375
9195;1;5375
38514;1;5375
84086;9;5360
78124;192;5354
83070;271;5346
74136;58;5340
94002;521;5334
6060;24;5314
74303;20;5303
26344;1;5300
74201;15;5265
83036;38;5223
6029;1735;5219
6161;352;5195
14220;312;5177
2A008;25;5173
95295;1;5172
78311;444;5163
2A065;5;5163
74261;4;5157
44055;869;5136
2A276;7;5136
2A041;14;5134
81041;1;5128
38191;157;5128
1180;9;5124
83027;41;5123
14488;1;5120
83034;177;5118
78455;86;5103
78406;5;5101
83149;2;5101
69383;623;5093
6038;23;5091
33529;479;5086
69194;76;5076
83019;272;5075
94015;227;5065
62449;2;5065
2A247;71;5065
74294;10;5043
6018;104;5043
78481;242;5031
91645;177;5027
33005;241;5026
78640;206;5019
6112;39;5016
84020;5;5014
83122;1;5000
84005;1;5000
69044;65;4990
34333;86;4989
6044;88;4975
92032;178;4974
74242;37;4962
91312;121;4957
84068;12;4949
74290;9;4946
74143;63;4945
34192;53;4940
1313;100;4933
69387;580;4924
84050;20;4923
74059;2;4919
6068;1;4917
78672;88;4916
92019;302;4905
78322;75;4903
74045;3;4900
2B185;1;4898
91635;24;4898
2A070;6;4898
78418;181;4897
2A300;4;4890
2A035;1;4889
6084;88;4887
81265;1;4880
6152;98;4880
2A362;30;4879
74266;10;4877
84124;16;4876
6085;266;4875
69072;95;4871
78350;93;4870
64189;94;4865
74036;3;4863
13033;44;4861
74102;6;4857
34314;6;4855
48123;1;4850
74150;8;4850
78233;31;4849
74213;48;4833
6105;67;4824
60656;3;4820
73059;8;4816
74239;15;4812
85113;97;4810
78224;85;4807
13019;62;4805
74019;27;4803
64024;401;4800
78126;252;4799
38404;1;4795
74031;17;4788
74082;39;4783
2693;1;4778
74254;1;4777
14238;5;4773
74083;59;4771
74098;13;4758
33063;4678;4753
74216;6;4752
74228;1;4750
95611;1;4746
2A092;7;4739
74112;67;4734
30245;5;4730
78092;106;4714
40296;187;4713
38527;14;4712
44132;379;4710
91534;44;4706
74221;2;4705
6065;40;4695
34344;152;4692
6004;1611;4686
50511;3;4680
69116;45;4679
13023;23;4678
6148;43;4677
56241;13;4677
78561;1;4674
13100;52;4674
78367;61;4674
78608;1;4670
6091;29;4667
74198;3;4664
74162;2;4660
78143;28;4653
2A130;28;4651
77059;9;4650
1397;3;4644
35093;317;4642
38120;1;4639
74293;27;4637
78007;12;4637
47307;4;4636
13114;43;4634
84058;6;4628
2A114;4;4625
91064;49;4625
85163;148;4622
69033;22;4621
26263;2;4608
13001;1449;4606
94055;131;4603
83071;271;4597
4176;5;4590
69063;62;4587
2A349;3;4586
74016;24;4582
43252;1;4581
61088;2;4579
78571;88;4570
74010;2064;4565
13207;472;4564
78575;102;4563
1399;36;4562
84073;8;4560
13032;72;4557
6083;944;4556
91679;17;4554
94081;642;4551
13060;31;4550
84146;2;4543
74063;63;4536
74152;7;4536
64038;24;4532
74179;3;4530
65306;2;4528
13015;75;4526
74272;9;4523
94038;304;4516
66048;2;4508
48119;4;4502
73317;14;4501
78466;129;4500
9018;1;4500
65056;1;4500
74219;4;4498
31418;3;4498
77181;48;4497
83129;584;4495
24516;8;4491
73094;6;4490
6108;43;4486
6035;16;4485
69153;15;4482
92036;107;4482
74117;1;4481
56034;155;4481
21076;2;4481
36166;3;4476
1153;21;4473
14701;99;4470
1103;19;4460
77111;88;4459
38289;27;4459
2A048;9;4455
18016;1;4450
1071;77;4448
64130;5;4447
44135;210;4447
78384;16;4446
13096;36;4446
78688;108;4444
83042;28;4444
69293;21;4444
97310;10;4444
6113;16;4444
74243;113;4443
56258;52;4442
69233;16;4441
6137;20;4441
74160;51;4437
1419;74;4435
78586;619;4432
74085;45;4429
93033;121;4428
13058;19;4426
64534;1;4420
14645;5;4420
77449;101;4419
91471;159;4416
73306;32;4406
74044;7;4402
29085;1;4400
13028;425;4390
74076;4;4387
69388;494;4385
6046;30;4378
83001;2;4378
13088;34;4372
77180;12;4371
74074;3;4364
73142;7;4364
1360;20;4358
73328;2;4356
56116;29;4355
78133;70;4350
33069;429;4348
1354;159;4342
83118;137;4337
84100;2;4337
2A017;7;4336
69205;52;4335
69087;40;4335
6079;496;4332
78372;284;4330
78545;279;4325
1401;23;4324
1281;60;4323
69244;384;4322
56005;113;4322
69059;12;4321
77410;4;4318
93062;251;4318
69277;60;4317
6027;760;4314
69081;212;4312
1428;1;4312
2B050;1;4308
95176;339;4307
74275;44;4303
91689;91;4303
4144;1;4300
83107;55;4299
30133;880;4298
77186;280;4298
73071;12;4297
6007;32;4294
74258;70;4294
6088;7798;4293
78502;72;4288
77307;266;4287
6037;2;4284
78420;34;4280
78043;55;4277
69034;630;4276
1135;20;4274
69250;38;4267
2B134;2;4263
69043;75;4258
6123;477;4255
74229;8;4254
93049;239;4244
77268;146;4244
33011;155;4237
1308;1;4237
74154;17;4226
84085;6;4221
66199;1;4216
25609;2;4216
33065;41;4212
13113;31;4211
6155;548;4207
93051;693;4199
64100;25;4199
30021;5;4198
74006;16;4197
26136;1;4195
14715;381;4190
2A098;9;4190
13116;2;4188
73186;11;4187
33229;136;4184
33199;401;4179
6067;25;4177
94079;359;4172
74302;5;4171
95063;344;4166
69284;35;4165
78152;25;4162
13062;28;4162
95574;95;4159
66053;5;4156
74314;4;4153
74291;4;4151
78189;30;4149
13107;43;4148
56186;158;4148
69127;32;4146
2A032;14;4146
2A001;8;4146
13002;192;4145
38039;21;4142
40276;9;4141
74200;20;4141
60141;193;4140
33522;684;4140
56114;27;4140
78289;19;4140
74103;8;4139
24567;1;4138
14104;4;4138
73206;16;4137
7203;2;4137
94017;812;4134
91479;61;4133
34154;91;4133
13025;24;4132
38045;15;4132
6157;241;4132
91275;28;4132
74069;5;4128
34198;31;4127
14091;7;4122
34169;5;4122
17300;1001;4120
13006;3;4118
74202;10;4118
6090;70;4109
91477;413;4108
30286;9;4107
59208;5;4106
83035;77;4104
7190;1;4104
71258;1;4097
74101;2;4097
74137;24;4096
1160;125;4095
69279;21;4094
85083;42;4093
73300;16;4091
14562;1;4091
35287;53;4090
38397;34;4085
74116;11;4081
27620;3;4080
2A006;12;4080
13080;34;4078
3303;2;4074
77372;57;4073
69052;27;4070
40213;3;4069
91226;101;4069
74285;1;4068
17485;15;4068
74118;23;4067
93001;529;4067
74236;161;4067
95203;275;4067
6120;129;4063
84095;6;4059
40328;100;4058
60546;2;4058
74062;10;4055
13075;120;4053
34270;36;4048
95051;136;4048
74215;69;4046
94071;315;4045
93077;384;4044
74013;11;4044
69268;39;4043
69168;16;4040
74306;2;4040
77085;52;4040
93066;792;4039
14738;1;4038
38068;10;4038
69281;2;4038
69040;83;4033
22094;34;4030
66062;2;4030
44131;327;4029
74014;99;4029
14041;1;4027
33214;335;4025
74158;8;4022
78615;14;4018
93064;484;4013
95428;343;4013
94028;753;4009
97125;46;4006
78049;24;4005
97113;37;4004
74153;17;4003
74026;32;4003
34129;64;4003
2A269;17;4002
77517;28;4002
13038;11;4002
64260;199;4001
58290;1;4000
66099;1;4000
69385;609;3999
83098;115;3999
31439;1;3997
77022;24;3996
13087;36;3993
74040;15;3991
74007;14;3990
69069;139;3988
69112;63;3987
74172;8;3983
1339;7;3983
74280;42;3982
69272;14;3981
13208;851;3980
69076;28;3979
95287;7;3978
6140;29;3977
97415;161;3976
74308;4;3976
94053;54;3976
13007;64;3975
13042;29;3975
91122;117;3971
6126;24;3970
77243;307;3970
94011;81;3967
77037;89;3966
78297;235;3964
78498;398;3963
95563;255;3959
77058;425;3958
31025;2;3958
69117;38;3957
56234;44;3956
95426;45;3955
69027;146;3954
95598;224;3952
25398;1;3951
84057;2;3950
13105;16;3949
62899;31;3949
84063;2;3948
97231;82;3948
56106;12;3948
36086;1;3947
95257;75;3946
78108;9;3945
17094;116;3945
74088;8;3943
24012;4;3940
91272;211;3938
94077;202;3938
95014;24;3937
40133;90;3937
13091;53;3937
83061;183;3936
95120;36;3936
38431;18;3935
94073;408;3935
83016;150;3935
60056;1;3934
74282;108;3933
1173;195;3932
74309;36;3932
95039;132;3931
38057;5;3927
38551;1;3927
74018;15;3926
69271;47;3925
13118;29;3924
78398;13;3924
34023;231;3922
83153;120;3922
78423;392;3917
74163;7;3917
84093;9;3914
14059;53;3912
95306;363;3910
95313;195;3907
7272;2;3906
66029;3;3905
95219;291;3904
31578;3;3904
6031;9;3904
95555;239;3904
13082;32;3903
13073;39;3902
91377;408;3901
13040;76;3900
74061;10;3897
17486;32;3893
44125;78;3893
38533;9;3891
84052;2;3891
17461;126;3889
69089;179;3886
2A249;31;3886
33039;404;3885
1436;5;3885
74128;15;3885
2A181;1;3884
5085;15;3882
74122;7;3882
38249;31;3882
74021;9;3882
94022;516;3869
73054;66;3868
69094;71;3868
6064;31;3868
69389;664;3866
2A189;6;3866
78683;45;3866
91421;262;3866
74096;34;3865
97206;33;3864
94065;61;3864
83103;19;3864
84143;8;3862
31355;5;3861
36142;4;3860
77373;501;3859
13046;15;3857
73103;15;3855
2A191;1;3854
60346;157;3853
35288;965;3853
91044;44;3852
77018;88;3852
91661;107;3849
95060;98;3846
34057;80;3845
74058;21;3844
97202;7;3840
4158;10;3838
38417;1;3836
94019;269;3835
13115;4;3833
69028;60;3831
69204;245;3831
93053;295;3830
69266;1061;3826
78172;529;3825
56008;57;3823
73128;16;3821
6122;25;3821
13101;19;3818
74094;44;3818
31055;1;3817
38333;1;3816
25514;2;3813
83138;8;3811
56205;14;3810
2137;1;3810
69202;299;3810
13079;7;3810
44109;5433;3810
74220;53;3803
6034;20;3803
60525;1;3800
38126;25;3799
13031;31;3798
74070;33;3798
69086;15;3797
84025;15;3794
77479;136;3793
54165;5;3792
69133;48;3792
74298;72;3791
13085;43;3790
13086;69;3790
69270;21;3788
85222;281;3788
14305;16;3788
93007;284;3787
77252;9;3785
74020;4;3784
33519;113;3782
91560;6;3781
64035;12;3781
33318;705;3780
2A272;16;3779
51099;5;3779
74119;119;3778
83081;14;3777
74052;8;3776
2A254;2;3775
94059;300;3772
95197;308;3771
84011;3;3769
34090;20;3769
56052;67;3766
17411;28;3763
78160;83;3762
