id_annonce,Backyard,Bathroom,Bedroom,Frontyard,Kitchen,LivingRoom,score
10767060,,,3.0,1.0,,2.0,4.63396195
10888487,,2.0,4.0,,,,2.8637598150000003
10914429,,3.0,2.0,,1.0,,2.547432455
11308684,1.0,,1.0,1.0,1.0,2.0,6.64426463
11549723,1.0,4.0,,1.0,,,3.4923692599999994
11958629,,,,,,1.0,0.6799019
11965095,2.0,,2.0,2.0,,,4.653981679999999
12090080,,2.0,1.0,,1.0,2.0,3.4630052950000003
12123019,1.0,,,1.0,,,1.363352925
12230262,1.0,1.0,1.0,,,3.0,5.702487679999999
12243776,,2.0,1.0,1.0,1.0,1.0,4.7558202650000005
12763085,,,3.0,,2.0,,2.95867492
13236641,,4.0,1.0,1.0,,,2.76490369
13385951,,1.0,3.0,1.0,,1.0,3.8907631100000004
13687635,3.0,,1.0,2.0,,,6.40844937
13843279,,3.0,1.0,,,2.0,3.8341320650000004
14133737,1.0,1.0,4.0,,,,3.1402767600000003
14200281,,,5.0,1.0,,,2.741184275
14602309,,,,,1.0,,0.609280995
14787963,2.0,1.0,1.0,1.0,,1.0,4.45283536
14952615,1.0,,,,,2.0,3.2302436
14964029,1.0,2.0,2.0,1.0,,,3.65424848
14964225,,,3.0,,2.0,1.0,3.7816741899999995
14964477,2.0,1.0,2.0,,,1.0,5.0584775099999995
14964943,,1.0,3.0,2.0,,,4.094110145
14965103,,1.0,2.0,,,3.0,4.98553634
14965115,,,1.0,2.0,,3.0,4.206766695
15012687,,1.0,4.0,,,1.0,4.3048581200000005
15073565,,,2.0,1.0,2.0,1.0,4.995666775
15079067,,,,2.0,2.0,1.0,4.0534048600000006
15120195,,3.0,3.0,,,,2.368525365
15122759,,,2.0,1.0,,3.0,5.20926568
15140945,,1.0,,,2.0,3.0,4.05277726
15165335,,2.0,3.0,,,1.0,3.89626073
15183049,,1.0,1.0,1.0,1.0,2.0,4.11982674
15214959,,1.0,1.0,,,2.0,3.00148989
15220905,,,1.0,1.0,1.0,3.0,3.952766915
15220933,2.0,,,1.0,1.0,2.0,5.535876614999999
15251091,1.0,1.0,3.0,,1.0,,4.4107129249999995
15251295,,4.0,,,,2.0,3.3672739
15300815,,1.0,1.0,1.0,2.0,1.0,3.77964069
15321629,,1.0,3.0,,,2.0,2.86294027
15372633,,1.0,5.0,,,,3.0828111999999996
15372691,,,1.0,,,,0.36431995
15389469,,2.0,1.0,2.0,,1.0,3.7468428100000004
15406881,,2.0,3.0,1.0,,,2.9197979600000004
15406925,1.0,1.0,3.0,,1.0,,4.330583355
15448729,,1.0,1.0,4.0,,,3.175841915
15498393,,2.0,2.0,,,2.0,3.2901109600000003
15539001,1.0,3.0,2.0,,,,3.32474938
15592679,1.0,,,2.0,,,2.9012405
15728603,,2.0,4.0,,,,3.114584125
15780039,,1.0,1.0,2.0,2.0,,4.520393395
15843341,,4.0,,,2.0,,3.256348725
16090705,2.0,,,,,,2.6308094
16234457,,2.0,,2.0,,2.0,4.22563114
16465931,1.0,,2.0,,1.0,2.0,5.83428161
16607283,2.0,,1.0,,1.0,2.0,5.5975253050000005
16881697,,2.0,,,1.0,3.0,3.973217015
16956857,,1.0,1.0,2.0,1.0,1.0,5.006527805
17016147,,4.0,,,1.0,,1.7163689
17205039,,,,3.0,,,2.129439435
17499187,,2.0,2.0,,1.0,1.0,2.98765342
17670947,1.0,1.0,,3.0,1.0,,3.14719997
17706407,,,,1.0,,,0.9768326999999999
17822729,2.0,,,3.0,,1.0,6.601303554999999
17910959,,,,1.0,,,0.5639123100000001
17970357,1.0,,1.0,3.0,,1.0,5.02095322
17970361,,2.0,2.0,1.0,,1.0,3.308369615
17970379,,3.0,1.0,1.0,,1.0,2.2891370650000002
17970391,,1.0,1.0,2.0,,2.0,4.4463117400000005
18184505,,,2.0,1.0,2.0,1.0,4.815521075
18221933,,2.0,,2.0,,2.0,4.147562655
18277557,1.0,,1.0,,,4.0,6.58056324
18595361,,1.0,3.0,,1.0,1.0,2.99715062
18794819,1.0,,,2.0,,2.0,3.76664699
