id_annonce,Backyard,Bathroom,Bedroom,Frontyard,Kitchen,LivingRoom,score
0767060,,,3.0,1.0,,2.0,4.63396195
0888487,,2.0,4.0,,,,2.8637598150000003
0914429,,3.0,2.0,,1.0,,2.547432455
1308684,1.0,,1.0,1.0,1.0,2.0,6.64426463
1549723,1.0,4.0,,1.0,,,3.4923692599999994
1958629,,,,,,1.0,0.6799019
1965095,2.0,,2.0,2.0,,,4.653981679999999
2090080,,2.0,1.0,,1.0,2.0,3.4630052950000003
2123019,1.0,,,1.0,,,1.363352925
2230262,1.0,1.0,1.0,,,3.0,5.702487679999999
2243776,,2.0,1.0,1.0,1.0,1.0,4.7558202650000005
2763085,,,3.0,,2.0,,2.95867492
3236641,,4.0,1.0,1.0,,,2.76490369
3385951,,1.0,3.0,1.0,,1.0,3.8907631100000004
3687635,3.0,,1.0,2.0,,,6.40844937
3843279,,3.0,1.0,,,2.0,3.8341320650000004
4133737,1.0,1.0,4.0,,,,3.1402767600000003
4200281,,,5.0,1.0,,,2.741184275
4602309,,,,,1.0,,0.609280995
4787963,2.0,1.0,1.0,1.0,,1.0,4.45283536
4952615,1.0,,,,,2.0,3.2302436
4964029,1.0,2.0,2.0,1.0,,,3.65424848
4964225,,,3.0,,2.0,1.0,3.7816741899999995
4964477,2.0,1.0,2.0,,,1.0,5.0584775099999995
4964943,,1.0,3.0,2.0,,,4.094110145
4965103,,1.0,2.0,,,3.0,4.98553634
4965115,,,1.0,2.0,,3.0,4.206766695
5012687,,1.0,4.0,,,1.0,4.3048581200000005
5073565,,,2.0,1.0,2.0,1.0,4.995666775
5079067,,,,2.0,2.0,1.0,4.0534048600000006
5120195,,3.0,3.0,,,,2.368525365
5122759,,,2.0,1.0,,3.0,5.20926568
5140945,,1.0,,,2.0,3.0,4.05277726
5165335,,2.0,3.0,,,1.0,3.89626073
5183049,,1.0,1.0,1.0,1.0,2.0,4.11982674
5214959,,1.0,1.0,,,2.0,3.00148989
5220905,,,1.0,1.0,1.0,3.0,3.952766915
5220933,2.0,,,1.0,1.0,2.0,5.535876614999999
5251091,1.0,1.0,3.0,,1.0,,4.4107129249999995
